doi,authorName,authorID,authorIDtype,authorAffil,affilID,affilIDtype,familyName,givenName,indexID,creatorIndex,affiliationIndex,identifierIndex
10.6084/m9.figshare.26737455.v1,"Metcalf, Jordan P.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Metcalf,Jordan P.,2,5,1,NA
10.6084/m9.figshare.26737455.v1,"Metcalf, Jordan P.",NA,NA,Oklahoma City VA Medical Center,https://ror.org/010md9d18,ROR,Metcalf,Jordan P.,2,5,2,NA
10.6084/m9.figshare.26737455.v1,"Drevets, Douglas A.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Drevets,Douglas A.,2,6,1,NA
10.6084/m9.figshare.26737452,"Wu, Wenxin",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Wu,Wenxin,3,1,1,NA
10.6084/m9.figshare.26737452,"Alexander, Jeremy S.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Alexander,Jeremy S.,3,2,1,NA
10.6084/m9.figshare.26737452,"Booth, J. Leland",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Booth,J. Leland,3,3,1,NA
10.6084/m9.figshare.26737452,"Miller, Craig A.",NA,NA,Oklahoma State University,https://ror.org/01g9vbr38,ROR,Miller,Craig A.,3,4,1,NA
10.6084/m9.figshare.26737452,"Metcalf, Jordan P.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Metcalf,Jordan P.,3,5,1,NA
10.6084/m9.figshare.26737452,"Metcalf, Jordan P.",NA,NA,Oklahoma City VA Medical Center,https://ror.org/010md9d18,ROR,Metcalf,Jordan P.,3,5,2,NA
10.6084/m9.figshare.26737452,"Drevets, Douglas A.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Drevets,Douglas A.,3,6,1,NA
10.6084/m9.figshare.26737452.v1,"Wu, Wenxin",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Wu,Wenxin,4,1,1,NA
10.6084/m9.figshare.26737452.v1,"Alexander, Jeremy S.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Alexander,Jeremy S.,4,2,1,NA
10.6084/m9.figshare.26737452.v1,"Booth, J. Leland",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Booth,J. Leland,4,3,1,NA
10.6084/m9.figshare.26737452.v1,"Miller, Craig A.",NA,NA,Oklahoma State University,https://ror.org/01g9vbr38,ROR,Miller,Craig A.,4,4,1,NA
10.6084/m9.figshare.26737452.v1,"Metcalf, Jordan P.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Metcalf,Jordan P.,4,5,1,NA
10.6084/m9.figshare.26737452.v1,"Metcalf, Jordan P.",NA,NA,Oklahoma City VA Medical Center,https://ror.org/010md9d18,ROR,Metcalf,Jordan P.,4,5,2,NA
10.6084/m9.figshare.26737452.v1,"Drevets, Douglas A.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Drevets,Douglas A.,4,6,1,NA
10.6084/m9.figshare.26082696,"Wu, Wenxin",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Wu,Wenxin,5,1,1,NA
10.6084/m9.figshare.26082696,"Alexander, Jeremy S.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Alexander,Jeremy S.,5,2,1,NA
10.6084/m9.figshare.26082696,"Booth, J. Leland",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Booth,J. Leland,5,3,1,NA
10.6084/m9.figshare.26082696,"Miller, Craig A.",NA,NA,Oklahoma State University,https://ror.org/01g9vbr38,ROR,Miller,Craig A.,5,4,1,NA
10.6084/m9.figshare.26082696,"Metcalf, Jordan P.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Metcalf,Jordan P.,5,5,1,NA
10.6084/m9.figshare.26082696,"Metcalf, Jordan P.",NA,NA,Oklahoma City VA Medical Center,https://ror.org/010md9d18,ROR,Metcalf,Jordan P.,5,5,2,NA
10.6084/m9.figshare.26082696,"Drevets, Douglas A.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Drevets,Douglas A.,5,6,1,NA
10.6084/m9.figshare.26082696.v1,"Wu, Wenxin",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Wu,Wenxin,6,1,1,NA
10.6084/m9.figshare.26082696.v1,"Alexander, Jeremy S.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Alexander,Jeremy S.,6,2,1,NA
10.6084/m9.figshare.26082696.v1,"Booth, J. Leland",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Booth,J. Leland,6,3,1,NA
10.6084/m9.figshare.26082696.v1,"Miller, Craig A.",NA,NA,Oklahoma State University,https://ror.org/01g9vbr38,ROR,Miller,Craig A.,6,4,1,NA
10.6084/m9.figshare.26082696.v1,"Metcalf, Jordan P.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Metcalf,Jordan P.,6,5,1,NA
10.6084/m9.figshare.26082696.v1,"Metcalf, Jordan P.",NA,NA,Oklahoma City VA Medical Center,https://ror.org/010md9d18,ROR,Metcalf,Jordan P.,6,5,2,NA
10.6084/m9.figshare.26082696.v1,"Drevets, Douglas A.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Drevets,Douglas A.,6,6,1,NA
10.6084/m9.figshare.24499342,"Zhang, Bo",NA,NA,"University of California, Davis",https://ror.org/05rrcem69,ROR,Zhang,Bo,7,1,1,NA
10.6084/m9.figshare.24499342,"Zhang, Bo",NA,NA,Oklahoma State University,https://ror.org/01g9vbr38,ROR,Zhang,Bo,7,1,2,NA
10.6084/m9.figshare.24499342,"Hastings, Alan",NA,NA,Santa Fe Institute,https://ror.org/01arysc35,ROR,Hastings,Alan,7,2,1,NA
10.6084/m9.figshare.24499342,"Hastings, Alan",NA,NA,"University of California, Davis",https://ror.org/05rrcem69,ROR,Hastings,Alan,7,2,2,NA
10.6084/m9.figshare.24499342,"Grosholz, Edwin D.",NA,NA,"University of California, Davis",https://ror.org/05rrcem69,ROR,Grosholz,Edwin D.,7,3,1,NA
10.6084/m9.figshare.24499342,"Zhai, Lu",NA,NA,Oklahoma State University,https://ror.org/01g9vbr38,ROR,Zhai,Lu,7,4,1,NA
10.6084/m9.figshare.24499342.v1,"Zhang, Bo",NA,NA,"University of California, Davis",https://ror.org/05rrcem69,ROR,Zhang,Bo,8,1,1,NA
10.6084/m9.figshare.24499342.v1,"Zhang, Bo",NA,NA,Oklahoma State University,https://ror.org/01g9vbr38,ROR,Zhang,Bo,8,1,2,NA
10.6084/m9.figshare.24499342.v1,"Hastings, Alan",NA,NA,Santa Fe Institute,https://ror.org/01arysc35,ROR,Hastings,Alan,8,2,1,NA
10.6084/m9.figshare.24499342.v1,"Hastings, Alan",NA,NA,"University of California, Davis",https://ror.org/05rrcem69,ROR,Hastings,Alan,8,2,2,NA
10.6084/m9.figshare.24499342.v1,"Grosholz, Edwin D.",NA,NA,"University of California, Davis",https://ror.org/05rrcem69,ROR,Grosholz,Edwin D.,8,3,1,NA
10.6084/m9.figshare.24499342.v1,"Zhai, Lu",NA,NA,Oklahoma State University,https://ror.org/01g9vbr38,ROR,Zhai,Lu,8,4,1,NA
10.6084/m9.figshare.26728348,"Sánchez-Morales, Lidia",NA,NA,Complutense University of Madrid,https://ror.org/02p0gd045,ROR,Sánchez-Morales,Lidia,9,1,1,NA
10.6084/m9.figshare.26728348,"Porras, Néstor",NA,NA,Complutense University of Madrid,https://ror.org/02p0gd045,ROR,Porras,Néstor,9,2,1,NA
